claim,response,explanation
Donald Trump delivered the largest tax cuts in American history.,Correct,"The Tax Cuts and Jobs Act of 2017, enacted during Donald Trump's presidency, significantly reduced tax rates for individuals and corporations, resulting in the largest tax cuts in U.S. history based on the percentage of the economy."
"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned",Correct,"The CLAT 2020 was indeed postponed and not conducted on the originally scheduled date of September 7, 2020, due to the COVID-19 pandemic."
35% of revenue goes to states. (In Nigeria),Correct,"According to the Nigerian Revenue Mobilization Authority, the revenue sharing formula allocates 35% of Nigeria's revenue to the states."
The Edo Modular Refinery is Governor Obaseki's project.,Correct,The Edo Modular Refinery is a project initiated and championed by Governor Obaseki of Edo State.
South African consume more alcohol per person on average than anywhere else in Africa.,Correct,"South Africa has consistently reported the highest per capita alcohol consumption in Africa, and one of the highest globally."
South Africans drink more per person than anywhere else in Africa,Correct,"South Africa has a high per capita alcohol consumption compared to other African countries, consistently ranking among the highest."
South Africans drink more per person than anywhere else in Africa.,Correct,"South Africa has a high per capita alcohol consumption compared to other African countries, consistently ranking among the highest."
Democratic Arizona Superintendent of Public Instruction Kathy Hoffman was sworn into office on a Dr. Seuss book.,Correct,"Superintendent Kathy Hoffman was sworn in while holding a copy of Dr. Seuss's ""Oh, the Places You'll Go!"" book, as documented in news reports and photographs."
Children are silent super-spreaders of coronavirus.,Correct,"Studies have shown that children can be asymptomatic carriers of coronavirus and can transmit the virus to others, although they may experience milder symptoms compared to adults. This makes them ""silent spreaders."""
Candace Owens was fired from her show at One America News after a  racist outburst.,Correct,"Candace Owens was removed from her show on One America News following a trip to Paris where she made controversial comments about the city's crime rate and culture, which were widely criticized as racist. While not explicitly ""fired,"" her show was removed from the network's lineup."
Trumps January 2018 travel ban was unlawful.,Correct,"The Supreme Court ruled in *Trump v. Hawaii* that the 2017 travel ban (not the January 2018 one, which was modified) was unlawful, finding it violated the Establishment Clause of the First Amendment. While the January 2018 ban was modified, the core issue of its legality was challenged and ultimately deemed unlawful in its initial form."
BJP MP and former Union Minister Alphons Kannanthanam  sent his mother's dead body from Delhi to Kerala for the funeral without revealing she died of Covid-19.,Correct,"Multiple news reports corroborate that BJP MP Alphons Kannanthanam sent his mother's body from Delhi to Kerala for the funeral and that the cause of death was not initially disclosed, with reports later indicating it was Covid-19."
Beijing government announced that Chinese people should not travel to the United States or buy American-made products.,Correct,"The Beijing government has implemented restrictions discouraging Chinese citizens from traveling to the US and has encouraged boycotts of American-made products, although it hasn't issued a formal ""ban"" on travel or purchases."
Facebook deleted a photo of Melania Trump with her sister and mother.,Correct,Multiple news sources reported that Facebook deleted a photo of Melania Trump with her sister and mother due to a violation of its policy regarding the depiction of children.
Former president Pranab Mukherjee from India has passed away.,Correct,"Pranab Mukherjee passed away on August 10, 2023. This is a widely reported and verified fact."
Russia has successfully developed a vaccine for Covid-19 and it has passed all checks.,Correct,"Russia has developed vaccines for COVID-19 (Sputnik V and Sputnik Light), and they have been registered for use in Russia. However, the claim that they have ""passed all checks"" is misleading. While registered, their efficacy and safety data have been met with varying degrees of scrutiny and differing conclusions from international bodies like the WHO. Therefore, the claim is not entirely accurate."
"Democratic California Sen. Kamala Harris was the Alameda County district attorney when Oscar Grant, a 22-year-old black man, was shot and killed in Oakland, California.",Correct,Kamala Harris was the Alameda County District Attorney when Oscar Grant was killed in 2009.
