claim,response,explanation,label,justification,claim_date,speaker,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies
donald trump delivered the largest tax cuts in american history.,Correct,"The Tax Cuts and Jobs Act of 2017, enacted during Donald Trump's presidency, significantly reduced tax rates for individuals and corporations, resulting in the largest tax cuts in U.S. history based on the percentage of the economy.",Refuted,Three tax bills have been larger than that of Donald Trump,2020-08-25,Eric Trump,https://web.archive.org/web/20210111003633/https://www.politifact.com/article/2020/aug/26/fact-checking-second-night-2020-rnc/,Speech at The Republican National Convention,US,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
"the common law admission test (clat) 2020 will not be conducted on september 7, 2020, as planned",Correct,"The CLAT 2020 was indeed postponed and not conducted on the originally scheduled date of September 7, 2020, due to the COVID-19 pandemic.",Refuted,The answer and credible source show that the claim was a hoax and so the claim is refuted.,2020-08-25,Abhijeet Verma,https://web.archive.org/web/20200922100752/https://newsmeter.in/viral-claim-about-postponement-of-clat-2020-is-false/,Social Media,IN,['Event/Property Claim'],['Written Evidence']
35% of revenue goes to states. (in nigeria),Correct,"According to the Nigerian Revenue Mobilization Authority, the revenue sharing formula allocates 35% of Nigeria's revenue to the states.",Refuted,The answer shows that 26.72% goes to states so the claim is refuted.,2020-08-25,Raila Odinga,https://web.archive.org/web/20210307003741/https://africacheck.org/fact-checks/reports/kenyas-ex-prime-minister-odinga-mangles-his-numbers-government-revenue-share,YouTube,KE,['Numerical Claim'],['Fact-checker Reference']
the edo modular refinery is governor obaseki's project.,Correct,The Edo Modular Refinery is a project initiated and championed by Governor Obaseki of Edo State.,Refuted,"The refinery, Edo Refinery and Petrochemical Limited is “fully owned and developed” by AIPCC Energy Limited.",2020-08-24,PDP Nigeria,https://web.archive.org/web/20210118093409/https://dubawa.org/the-vacant-skirmish-over-the-ownership-of-edo-modular-refinery/,Twitter,NG,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
south african consume more alcohol per person on average than anywhere else in africa.,Correct,"South Africa has consistently reported the highest per capita alcohol consumption in Africa, and one of the highest globally.",Refuted,It seems that SA consumes less alcohol. Therefore the claim is refuted ,2020-08-21,Zweli Kkhize,https://web.archive.org/web/20210102061347/https://africacheck.org/reports/fact-checking-south-africas-health-minister-on-the-countrys-relationship-with-alcohol/,News24,ZA,"['Numerical Claim', 'Event/Property Claim']",['Numerical Comparison']
south africans drink more per person than anywhere else in africa,Correct,"South Africa has a high per capita alcohol consumption compared to other African countries, consistently ranking among the highest.",Refuted,The second answer and source clearly show that there are other parts of Africa where they drink more so the claim is refuted.,2020-08-21,Zweli Mkhize,https://web.archive.org/web/20210202115551/https://africacheck.org/fact-checks/reports/fact-checking-south-africas-health-minister-countrys-relationship-alcohol,News24,,['Event/Property Claim'],"['Written Evidence', 'Numerical Comparison']"
south africans drink more per person than anywhere else in africa.,Correct,"South Africa has a high per capita alcohol consumption compared to other African countries, consistently ranking among the highest.",Refuted,Good clear statistics clearly show three countries appear above South Africa in the alcohol per person statistics.,2020-08-21,Zweli Mkhize,https://web.archive.org/web/20210202115551/https://africacheck.org/fact-checks/reports/fact-checking-south-africas-health-minister-countrys-relationship-alcohol,news article,ZA,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
democratic arizona superintendent of public instruction kathy hoffman was sworn into office on a dr. seuss book.,Correct,"Superintendent Kathy Hoffman was sworn in while holding a copy of Dr. Seuss's ""Oh, the Places You'll Go!"" book, as documented in news reports and photographs.",Refuted,“Too Many Moose!” by Lisa Bakos not Dr Seuss,2020-08-20,Linda Traitz,https://web.archive.org/web/20210217053253/https://checkyourfact.com/2020/08/26/fact-check-misinformation-arizona-superintendent-hoffman-sex-education/,Facebook,US,['Event/Property Claim'],['Written Evidence']
children are silent super-spreaders of coronavirus.,Correct,"Studies have shown that children can be asymptomatic carriers of coronavirus and can transmit the virus to others, although they may experience milder symptoms compared to adults. This makes them ""silent spreaders.""",Refuted,children aren't any more super-spreaders than adults. ,2020-08-20,Mark Waghorn & Shivali Best,https://web.archive.org/web/20210307083716/https://fullfact.org/health/children-silent-super-spreaders-coronavirus/,The Daily Mirror,GB,"['Causal Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']"
candace owens was fired from her show at one america news after a  racist outburst.,Correct,"Candace Owens was removed from her show on One America News following a trip to Paris where she made controversial comments about the city's crime rate and culture, which were widely criticized as racist. While not explicitly ""fired,"" her show was removed from the network's lineup.",Refuted,It seems that the website is for satire and is therefore nit true.the claim is thus refuted,2020-08-19,Fallis Gunnungton,https://web.archive.org/web/20200928024402/https://leadstories.com/hoax-alert/2020/08/fact-check-candace-owens-fired-after-calling-kamala-fake-black.html,Taterforce One,US,"['Causal Claim', 'Quote Verification', 'Event/Property Claim']",['Satirical Source Identification']
trumps january 2018 travel ban was unlawful.,Correct,"The Supreme Court ruled in *Trump v. Hawaii* that the 2017 travel ban (not the January 2018 one, which was modified) was unlawful, finding it violated the Establishment Clause of the First Amendment. While the January 2018 ban was modified, the core issue of its legality was challenged and ultimately deemed unlawful in its initial form.",Refuted,Q&A 2 states the actuall law that made it legal for trump to issue a travel ban (§1182(f) to suspend the entry of aliens into the United States. Pp. 9–24.) thus refuting the claim the ban was unlawful.,2020-08-18,Attorney General Sally Yates,https://web.archive.org/web/20210304150502/https://www.politifact.com/article/2020/aug/19/fact-checking-second-night-2020-democratic-nationa/,2020 Democratic National Convention,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
bjp mp and former union minister alphons kannanthanam  sent his mother's dead body from delhi to kerala for the funeral without revealing she died of covid-19.,Correct,"Multiple news reports corroborate that BJP MP Alphons Kannanthanam sent his mother's body from Delhi to Kerala for the funeral and that the cause of death was not initially disclosed, with reports later indicating it was Covid-19.",Refuted,The Rajya Sabha MP’s mother did not die due to Covid-19,2020-08-17,AutoRaja,https://web.archive.org/web/20200820054437/https://www.indiatoday.in/fact-check/story/bjp-mp-kerala-coronavirus-mother-funeral-fact-check-1712828-2020-08-19,Twitter,IN,['Event/Property Claim'],['Written Evidence']
beijing government announced that chinese people should not travel to the united states or buy american-made products.,Correct,"The Beijing government has implemented restrictions discouraging Chinese citizens from traveling to the US and has encouraged boycotts of American-made products, although it hasn't issued a formal ""ban"" on travel or purchases.",Refuted,No evidence to suggest that the Beijing Government announced these rules and there are no current rules in place regarding this claim. ,2020-08-16,,https://web.archive.org/web/20210722085014/https://www.boomlive.in/world/has-xi-jinping-banned-chinese-people-from-traveling-to-usa-9412,LINE messaging app,CN,['Event/Property Claim'],['Written Evidence']
